date,jun27_price,jun28_price,price_spread_jun28_minus_jun27,rate_spread_jun28_minus_jun27_bp
2026-06-08,97.155,97.27,0.11499999999999488,-11.499999999999488
2026-06-09,97.185,97.295,0.10999999999999943,-10.999999999999943
2026-06-10,97.15,97.27,0.11999999999999034,-11.999999999999034
2026-06-11,97.21,97.33,0.12000000000000455,-12.000000000000455
2026-06-12,97.265,97.35,0.08499999999999375,-8.499999999999375
2026-06-15,97.33,97.41,0.0799999999999983,-7.9999999999998295
2026-06-16,97.315,97.415,0.10000000000000853,-10.000000000000853
2026-06-17,97.31,97.405,0.09499999999999886,-9.499999999999886
2026-06-18,97.3,97.4,0.10000000000000853,-10.000000000000853
2026-06-19,97.245,97.345,0.09999999999999432,-9.999999999999432
2026-06-22,97.31,97.395,0.08499999999999375,-8.499999999999375
2026-06-23,97.33,97.425,0.09499999999999886,-9.499999999999886
2026-06-24,97.36,97.46,0.09999999999999432,-9.999999999999432
2026-06-25,97.38,97.465,0.08500000000000796,-8.500000000000796
2026-06-26,97.42,97.495,0.07500000000000284,-7.500000000000284
2026-06-29,97.385,97.475,0.0899999999999892,-8.99999999999892
2026-06-30,97.39,97.47,0.0799999999999983,-7.9999999999998295
2026-07-01,97.42,97.465,0.045000000000001705,-4.5000000000001705
2026-07-02,97.445,97.46,0.015000000000000568,-1.5000000000000568
2026-07-03,97.4,97.395,-0.005000000000009663,0.5000000000009663
2026-07-06,97.4,97.41,0.009999999999990905,-0.9999999999990905
2026-07-07,97.34,97.355,0.015000000000000568,-1.5000000000000568
2026-07-08,97.19,97.235,0.045000000000001705,-4.5000000000001705
2026-07-09,97.245,97.285,0.03999999999999204,-3.999999999999204
2026-07-10,97.25,97.285,0.03499999999999659,-3.499999999999659
2026-07-13,97.175,97.23,0.05500000000000682,-5.500000000000682
2026-07-14,97.155,97.22,0.06499999999999773,-6.499999999999773
2026-07-15,97.15,97.215,0.06499999999999773,-6.499999999999773
2026-07-16,97.105,97.185,0.0799999999999983,-7.9999999999998295
2026-07-17,97.085,97.17,0.08500000000000796,-8.500000000000796
2026-07-20,97.08,97.155,0.07500000000000284,-7.500000000000284
2026-07-21,97.05,97.12,0.07000000000000739,-7.000000000000739
2026-07-22,96.99,97.09,0.10000000000000853,-10.000000000000853
2026-07-23,96.93,97.025,0.09499999999999886,-9.499999999999886
2026-07-24,97.0,97.085,0.08499999999999375,-8.499999999999375
2026-07-27,97.075,97.155,0.0799999999999983,-7.9999999999998295
2026-07-28,97.11,97.18,0.07000000000000739,-7.000000000000739
2026-07-29,97.045,97.115,0.06999999999999318,-6.999999999999318
2026-07-30,97.08,97.125,0.045000000000001705,-4.5000000000001705
2026-07-31,97.045,97.09,0.045000000000001705,-4.5000000000001705
2026-08-03,97.1,97.15,0.05000000000001137,-5.000000000001137
2026-08-04,97.155,97.195,0.03999999999999204,-3.999999999999204
2026-08-05,97.165,97.2,0.03499999999999659,-3.499999999999659
2026-08-06,97.145,97.17,0.025000000000005684,-2.5000000000005684
2026-08-07,97.14,97.165,0.025000000000005684,-2.5000000000005684
2026-08-10,97.085,97.1,0.015000000000000568,-1.5000000000000568
2026-08-11,97.1,97.13,0.030000000000001137,-3.0000000000001137
2026-08-12,97.095,97.13,0.03499999999999659,-3.499999999999659
2026-08-13,97.12,97.165,0.045000000000001705,-4.5000000000001705
2026-08-14,97.08,97.105,0.025000000000005684,-2.5000000000005684
2026-08-17,97.085,97.105,0.020000000000010232,-2.000000000001023
2026-08-18,97.025,97.045,0.01999999999999602,-1.999999999999602
2026-08-19,97.0,97.03,0.030000000000001137,-3.0000000000001137
2026-08-20,97.03,97.055,0.025000000000005684,-2.5000000000005684
2026-08-21,97.04,97.055,0.015000000000000568,-1.5000000000000568
2026-08-24,96.99,97.03,0.04000000000000625,-4.000000000000625
2026-08-25,97.055,97.09,0.03499999999999659,-3.499999999999659
2026-08-26,97.045,97.08,0.03499999999999659,-3.499999999999659
2026-08-27,97.02,97.045,0.025000000000005684,-2.5000000000005684
2026-08-28,96.97,96.995,0.025000000000005684,-2.5000000000005684
2026-08-31,96.935,96.945,0.009999999999990905,-0.9999999999990905
2026-09-01,96.905,96.92,0.015000000000000568,-1.5000000000000568
2026-09-02,96.845,96.87,0.025000000000005684,-2.5000000000005684
2026-09-03,96.89,96.92,0.030000000000001137,-3.0000000000001137
2026-09-04,96.905,96.93,0.025000000000005684,-2.5000000000005684
2026-09-07,96.855,96.87,0.015000000000000568,-1.5000000000000568
2026-09-08,96.865,96.87,0.005000000000009663,-0.5000000000009663
2026-09-09,96.78,96.765,-0.015000000000000568,1.5000000000000568
2026-09-10,96.555,96.615,0.05999999999998806,-5.999999999998806
2026-09-11,96.565,96.635,0.07000000000000739,-7.000000000000739
2026-09-14,96.445,96.53,0.08500000000000796,-8.500000000000796
2026-09-15,96.52,96.56,0.04000000000000625,-4.000000000000625
2026-09-16,96.57,96.625,0.05500000000000682,-5.500000000000682
2026-09-17,96.55,96.62,0.07000000000000739,-7.000000000000739
2026-09-18,96.46,96.505,0.045000000000001705,-4.5000000000001705
2026-09-21,96.57,96.63,0.060000000000002274,-6.000000000000227
2026-09-22,96.565,96.62,0.05500000000000682,-5.500000000000682
2026-09-23,96.45,96.465,0.015000000000000568,-1.5000000000000568
2026-09-24,96.42,96.395,-0.025000000000005684,2.5000000000005684
2026-09-25,96.465,96.42,-0.045000000000001705,4.5000000000001705
